origin,Adang Bay,Asam Asam,Bahudopi,Balikpapan,Bangkok,Batangas,Belawan,Bengalon,Binh Thuan (Vinh Tan),Bintulu,Bitung,Bontang,Bunati,Bunyu,Cagayan de Oro,Cai Mep,Campha,Cebu,Chittagong,Cigading,Cirebon,Colombo,Da Nang,Davao,Dumai,Dung Quat,General Santos,Go Gia,Gresik,Ha Long,Hai Phong,Hambantota,Ho Chi Minh City,Hon La,Iligan,Iloilo City,Isabel,Kauswagan,Kemaman,Kendari,Ko Por Anchorage,Koh Sichang,Kotabaru,Kualatanjung,Kuantan,Kupang,Labuan,Laem Chabang,Lahad Datu,Laut Island,Limay,Lumut (Malaysia),Makassar,Malita,Manila,Map Ta Phut,Mariveles,Masinloc,Merak,Mongla,Muara Banyuasin,Muara Berau,Muara Jawa,Muara Pantai,Muara Satui,Naga (Cebu),Nasipit,Nghi Son,Ozamiz,Pagbilao,Palembang,Pasir Gudang,Payra,Pelabuhan Ratu,Penang,Phu My,Pomalaa,Port Dickson,Port Kelang,Prachuap,Quezon,Quy Nhon,Samarinda,Sandakan,Sangi,Sangkulirang,Sarasin,Sattahip,Semarang,Senipah Terminal,Sihanoukville,Singapore,Son Duong,Songkhla,Sorong,Sual (Lingayen bay),Surabaya,Taboneo - Banjarmasin,Tagoloan,Tanjung Bara CT,Tanjung Pelepas,Tarahan,Tarakan Island,Tawau,Teluk Bayur,Thilawa,Toledo (Philippines),Trincomalee,Villanueva (Mindanao Island),Vung Ang,Westport (Malaysia),Yangon,Zamboanga
Malita,1362.3,1636.4,983.3,1272.3,3645.0,1030.7,3001.3,1026.7,3024.5,1911.9,451.8,968.1,1679.1,727.6,715.3,3213.2,3657.7,830.9,4559.9,2363.9,2596.8,5142.2,3269.2,167.0,2723.7,3268.7,117.6,3620.2,1821.3,3641.5,3634.6,4518.4,3244.6,3495.1,812.7,859.7,627.2,811.4,2924.5,1088.7,3619.1,3622.0,1286.8,2937.3,2939.6,1446.0,1202.4,3625.6,810.3,1286.4,1113.7,2901.9,1363.3,0.0,1143.6,3651.2,1105.2,1150.4,4808.3,5147.5,4947.9,836.1,956.3,1342.4,1665.0,824.0,684.9,4109.7,810.8,1011.9,4991.9,2565.0,5103.4,2484.3,3438.1,3219.7,1506.6,2717.8,2884.0,4152.0,1012.1,3028.7,953.3,972.6,670.1,1048.1,3835.2,3634.6,2277.1,1284.4,3386.5,2548.0,3628.5,3296.9,743.3,1360.1,1826.3,1578.1,708.8,856.8,2548.9,4813.7,748.5,750.0,3330.8,4501.8,838.1,5132.4,704.6,3500.7,2882.1,4511.9,447.9
Manila,1794.8,2068.8,1812.6,1704.8,3401.5,387.3,2757.8,1459.2,3456.9,1668.4,1281.1,1400.6,2111.5,1064.1,915.7,3645.6,4090.1,826.8,4316.4,2796.3,3029.2,4898.7,3701.6,1195.6,2480.2,3701.1,1146.2,4052.6,2253.7,4073.9,4067.0,4274.9,3677.0,3927.5,808.5,454.1,980.0,807.3,2681.0,1918.0,3375.6,3378.5,1719.3,2693.8,2696.1,2275.3,1060.1,3382.1,1146.8,1718.9,136.8,2658.4,1795.7,1143.6,0.0,3407.7,128.4,173.6,4564.8,4900.9,4704.4,1172.6,1388.8,1774.9,2097.4,819.9,885.3,3866.2,806.7,368.5,4748.4,2321.5,4856.8,2916.7,3194.6,3652.1,2156.1,2474.3,2640.5,3905.4,368.7,3461.1,1385.7,914.1,870.5,1480.6,3588.6,3391.1,2709.5,1716.9,3143.0,2304.5,4060.9,3053.4,1680.5,383.2,2258.7,2010.6,909.2,1289.2,2305.4,4570.2,1085.0,1086.5,3087.3,4255.2,833.9,4885.8,905.0,3933.1,2638.6,4265.3,724.3
Map Ta Phut,2744.0,2216.5,3475.5,2654.0,121.0,3532.1,1575.3,2978.4,1218.2,1906.9,3676.9,2919.8,2259.2,3376.3,3516.6,847.1,1851.3,3427.7,3133.9,1896.0,2356.3,3716.2,1462.9,3703.1,1320.2,1462.3,3653.7,1813.8,2125.5,1835.2,1828.2,3092.4,878.6,1688.7,3409.4,3417.2,3627.3,3408.2,835.8,3249.0,95.1,98.0,2472.5,1511.3,851.0,3430.1,1859.6,101.6,3458.9,2472.1,3377.7,1498.5,2753.1,3651.2,3407.7,0.0,3369.2,3414.4,1895.1,3285.8,1435.8,3484.8,2908.1,2724.1,2245.1,3420.8,3486.2,1888.4,3407.6,3513.2,1479.7,1161.5,3241.7,2243.8,669.3,853.6,3793.4,1314.3,1480.5,169.7,3513.5,1222.4,2905.0,2917.3,3471.4,2999.9,1973.5,110.5,2624.8,2666.1,378.1,1144.5,1822.2,528.1,3872.5,3603.7,2130.5,2158.3,3510.1,3153.4,1145.4,1900.5,3397.1,3398.7,2576.0,2640.1,3434.8,3270.7,3505.9,1694.4,1478.7,2650.2,3231.9
Mariveles,1756.4,2030.4,1774.2,1666.4,3363.0,348.9,2719.3,1420.8,3418.5,1630.0,1242.7,1362.2,2073.1,1025.7,877.3,3607.2,4051.7,788.4,4277.9,2757.9,2990.8,4860.2,3663.2,1157.2,2441.7,3662.7,1107.8,4014.2,2215.3,4035.5,4028.6,4236.4,3638.6,3889.1,770.1,415.7,941.5,768.9,2642.5,1879.6,3337.1,3340.0,1680.9,2655.3,2657.6,2236.9,1021.7,3343.6,1108.4,1680.5,98.4,2619.9,1757.3,1105.2,128.4,3369.2,0.0,135.2,4526.3,4862.5,4665.9,1134.2,1350.4,1736.5,2059.0,781.5,846.9,3827.7,768.3,330.1,4709.9,2283.0,4818.4,2878.3,3156.1,3613.7,2117.7,2435.8,2602.0,3867.0,330.3,3422.7,1347.3,875.7,832.1,1442.2,3550.2,3352.6,2671.1,1678.5,3104.5,2266.0,4022.5,3014.9,1642.1,344.8,2220.3,1972.2,870.8,1250.8,2266.9,4531.7,1046.6,1048.1,3048.8,4216.8,795.5,4847.4,866.6,3894.7,2600.1,4226.9,685.9
Masinloc,1801.6,2075.6,1819.4,1711.6,3408.2,394.1,2764.5,1466.0,4439.6,4020.3,1287.9,1407.4,2118.3,1070.9,922.5,4435.3,5072.8,833.6,4323.1,2223.3,3014.6,4905.4,4684.3,1202.4,2486.9,4683.8,1153.0,1507.1,2634.0,5056.6,1521.5,4281.6,1225.1,1382.0,815.3,460.9,986.7,814.1,2687.7,1924.8,3382.3,3385.2,1726.1,2700.5,2702.8,2282.1,1066.9,3388.8,1153.6,1725.7,143.6,2665.1,1802.5,1150.4,173.6,3414.4,135.2,0.0,4571.5,4907.7,4711.1,1179.4,1395.6,1781.7,2104.2,826.7,892.1,3872.9,813.5,375.3,4755.1,2328.2,4863.6,2571.1,3201.3,4441.7,2162.9,2481.0,2647.2,3912.2,375.5,4443.8,1392.5,920.9,877.3,1487.4,3595.4,3397.8,2694.9,1723.7,3149.7,2311.2,1515.5,3060.1,1687.3,390.0,2639.0,2017.4,916.0,1296.0,2312.1,4576.9,1091.8,1093.3,3094.0,4262.0,840.7,4892.6,911.8,1387.7,2645.3,4272.1,731.1
Merak,1462.7,935.2,4632.6,1372.7,1889.0,4689.2,1245.2,4135.5,1753.8,1334.5,4834.0,4076.9,978.0,4533.4,4673.7,1679.1,2387.0,4584.8,2803.8,99.9,560.1,3386.1,1998.5,4860.2,967.7,1997.9,4810.8,2349.5,711.2,2370.8,2363.8,2762.3,1710.5,2224.4,4566.5,4574.3,4784.4,4565.3,1168.4,4406.1,1863.1,1866.0,1191.2,1181.2,1183.6,4587.2,1485.5,1869.6,4616.0,1190.8,4534.8,1145.9,3910.2,4808.3,4564.8,1895.1,4526.3,4571.5,0.0,2955.7,510.1,2483.5,1906.8,1442.8,963.9,2419.5,2484.9,2424.0,2406.3,2511.9,554.1,809.0,2911.6,447.6,1682.1,1685.5,2792.1,961.8,1127.9,1960.2,2512.2,1758.0,1903.7,1916.0,2470.1,1998.6,1643.4,1878.5,828.7,1384.8,1630.5,792.0,2357.8,1540.8,2871.2,2602.4,716.2,877.0,2508.8,2152.1,792.9,104.4,2395.8,2397.4,779.9,2310.0,2433.5,2940.6,2504.6,2230.0,1126.1,2320.1,2230.6
Mongla,3804.6,3277.1,5255.2,3714.6,3279.7,5028.4,2028.6,4758.1,3365.6,3112.9,5285.0,4699.5,3319.8,5031.8,5012.9,3092.2,3998.7,4924.0,241.9,2956.6,3416.9,2205.4,3610.3,5199.4,2066.5,3609.7,5150.0,3961.3,3186.1,3982.6,3975.6,1581.5,3123.6,3836.1,4905.7,4913.5,5123.6,4904.5,2581.6,5028.7,3253.8,3256.7,3533.1,1964.6,2596.8,5209.8,3264.0,3260.3,5114.5,3532.7,4871.0,1951.7,4532.8,5147.5,4900.9,3285.8,4862.5,4907.7,2955.7,0.0,2496.4,4545.4,3968.7,3784.7,3305.7,4481.4,4546.8,4035.8,4468.2,4573.8,2540.3,2222.1,95.0,3304.4,3072.7,3098.7,4174.0,2060.6,1933.7,3328.4,4574.1,3369.8,3965.6,3977.9,4532.0,4060.5,1596.0,3269.2,3685.4,3726.7,3043.7,2205.1,3969.6,2931.5,4933.1,4664.3,3191.1,3218.9,4570.7,4214.0,2206.0,2961.1,4457.7,4459.3,2540.5,1187.8,4495.4,1538.2,4566.5,3841.8,1931.9,1197.8,4292.5
Muara Banyuasin,1602.3,1074.8,4772.2,1512.3,1429.6,4828.8,785.9,4275.1,1493.1,1240.4,4973.6,4216.5,1117.5,4673.0,4813.3,1219.7,2126.2,4724.4,2344.5,511.0,971.3,2926.8,1737.8,4999.8,508.3,1737.2,4950.4,2088.7,850.8,2110.1,2103.1,2303.0,1251.1,1963.6,4706.1,4713.9,4924.0,4704.9,709.1,4545.7,1403.7,1406.6,1330.8,721.9,724.2,4726.8,1391.5,1410.2,4755.6,1330.4,4674.4,686.5,4049.8,4947.9,4704.4,1435.8,4665.9,4711.1,510.1,2496.4,0.0,2623.1,2046.4,1582.4,1103.4,2559.1,2624.5,2163.3,2545.9,2651.5,94.8,349.6,2452.3,858.8,1222.7,1226.1,2931.7,502.4,668.6,1500.9,2651.8,1497.3,2043.3,2055.6,2609.7,2138.2,1184.1,1419.2,1239.8,1524.4,1171.2,332.6,2097.1,1081.5,3010.8,2742.0,855.7,1016.6,2648.4,2291.7,333.5,515.5,2535.4,2537.0,1191.0,1850.7,2573.1,2481.3,2644.2,1969.3,666.7,1860.8,2370.2
Muara Berau,1130.1,1404.1,1416.6,1040.1,3478.6,1112.0,2834.9,794.5,3768.2,3348.9,885.1,735.9,1446.8,162.8,1096.6,3763.9,4401.4,1007.7,4393.5,2013.6,2343.2,4975.8,4012.9,888.1,2557.3,4012.4,838.7,2477.0,1962.6,4385.2,2491.4,4352.0,2101.4,2351.9,989.4,997.2,1207.3,988.2,2758.1,1522.0,3452.7,3455.6,1054.6,2770.9,2773.2,1879.3,1195.3,3459.2,245.5,1054.2,1142.6,2735.5,1131.0,836.1,1172.6,3484.8,1134.2,1179.4,2483.5,4545.4,2623.1,0.0,724.1,1110.2,1432.7,1000.8,1066.2,3943.3,987.6,1093.2,4825.5,2398.6,5096.2,2134.0,3271.7,3770.3,1491.4,2551.4,2717.6,4144.8,1093.4,3772.4,721.0,965.5,1051.3,815.9,3828.0,3468.2,2023.5,1052.2,3220.1,2381.6,2485.3,3130.5,1373.0,1389.0,1967.6,1345.9,1090.1,624.6,2382.5,4647.3,183.7,185.2,3164.4,4494.6,1014.8,5125.2,1085.9,2357.5,2715.7,4504.7,749.1
Muara Jawa,553.4,827.4,1276.7,463.4,2901.9,1328.2,2258.2,171.9,3191.4,2772.1,963.4,113.3,870.1,615.6,1312.7,3187.1,3824.6,1223.8,3816.8,1436.9,1766.4,4399.1,3436.1,1008.3,1980.6,3435.6,958.9,2693.2,1385.8,3808.4,2707.5,3775.3,2317.6,2568.0,1205.5,1213.3,1423.5,1204.3,2181.4,1050.2,2876.0,2878.9,477.9,2194.2,2196.5,1348.2,1411.5,2882.5,698.3,477.5,1358.8,2158.8,554.3,956.3,1388.8,2908.1,1350.4,1395.6,1906.8,3968.7,2046.4,724.1,0.0,533.5,856.0,1216.9,1282.3,3366.6,1203.7,1309.4,4248.8,1821.9,4643.7,1557.2,2695.0,3193.5,914.7,1974.7,2140.9,3692.3,1309.6,3195.6,98.4,1181.6,1267.5,193.3,3375.5,2891.5,1446.7,475.5,2643.4,1804.9,2701.5,2553.8,1493.2,1605.2,1390.8,769.2,1306.2,392.7,1805.8,4070.6,636.5,638.0,2587.7,4042.1,1230.9,4672.7,1302.1,2573.7,2139.0,4052.2,932.7
