origin,Adang Bay,Asam Asam,Bahudopi,Balikpapan,Bangkok,Batangas,Belawan,Bengalon,Binh Thuan (Vinh Tan),Bintulu,Bitung,Bontang,Bunati,Bunyu,Cagayan de Oro,Cai Mep,Campha,Cebu,Chittagong,Cigading,Cirebon,Colombo,Da Nang,Davao,Dumai,Dung Quat,General Santos,Go Gia,Gresik,Ha Long,Hai Phong,Hambantota,Ho Chi Minh City,Hon La,Iligan,Iloilo City,Isabel,Kauswagan,Kemaman,Kendari,Ko Por Anchorage,Koh Sichang,Kotabaru,Kualatanjung,Kuantan,Kupang,Labuan,Laem Chabang,Lahad Datu,Laut Island,Limay,Lumut (Malaysia),Makassar,Malita,Manila,Map Ta Phut,Mariveles,Masinloc,Merak,Mongla,Muara Banyuasin,Muara Berau,Muara Jawa,Muara Pantai,Muara Satui,Naga (Cebu),Nasipit,Nghi Son,Ozamiz,Pagbilao,Palembang,Pasir Gudang,Payra,Pelabuhan Ratu,Penang,Phu My,Pomalaa,Port Dickson,Port Kelang,Prachuap,Quezon,Quy Nhon,Samarinda,Sandakan,Sangi,Sangkulirang,Sarasin,Sattahip,Semarang,Senipah Terminal,Sihanoukville,Singapore,Son Duong,Songkhla,Sorong,Sual (Lingayen bay),Surabaya,Taboneo - Banjarmasin,Tagoloan,Tanjung Bara CT,Tanjung Pelepas,Tarahan,Tarakan Island,Tawau,Teluk Bayur,Thilawa,Toledo (Philippines),Trincomalee,Villanueva (Mindanao Island),Vung Ang,Westport (Malaysia),Yangon,Zamboanga
Muara Pantai,192.4,834.2,1283.6,102.4,2717.9,1714.3,2074.2,603.9,3198.3,2779.0,1349.5,545.3,876.9,1001.7,1698.9,3194.0,3831.5,1609.9,3632.8,1443.7,1773.3,4215.1,3443.0,1394.4,1796.6,3442.5,1345.0,3079.3,1392.7,3815.3,3093.6,3591.3,2539.4,2954.1,1591.6,1599.4,1809.6,1590.4,1997.4,1057.0,2692.0,2694.9,484.7,2010.2,2012.5,1355.0,1797.6,2698.5,1084.4,484.3,1744.9,1974.8,561.1,1342.4,1774.9,2724.1,1736.5,1781.7,1442.8,3784.7,1582.4,1110.2,533.5,0.0,862.8,1603.0,1668.5,3153.8,1589.8,1695.5,1626.3,1637.9,3740.6,1564.1,2511.0,3200.4,921.5,1790.7,1956.9,2789.2,1695.7,3202.5,530.4,1567.8,1653.6,625.3,2472.4,2707.5,1453.6,114.5,2459.5,1620.9,3087.6,2369.8,1680.5,1991.3,1397.7,776.0,1692.4,778.8,1621.8,1448.2,1022.6,1024.1,2123.7,3139.0,1617.1,3769.6,1688.2,2959.8,1955.0,3149.1,1318.8
Muara Satui,882.8,194.3,1423.5,792.8,2239.0,2036.9,1595.2,926.4,3169.7,2750.4,1624.8,867.8,237.0,1324.2,2021.4,3165.4,3802.9,1932.5,3153.8,964.8,1744.7,3736.1,3414.4,1716.9,1317.7,3413.9,1667.5,2629.1,1364.1,3786.7,2643.5,3112.3,2060.5,2504.0,1914.2,1921.9,2132.1,1912.9,1518.5,1196.9,2213.1,2216.0,611.3,1531.2,1533.6,1444.1,1765.2,2219.6,1406.9,610.9,2067.5,1495.9,701.1,1665.0,2097.4,2245.1,2059.0,2104.2,963.9,3305.7,1103.4,1432.7,856.0,862.8,0.0,1925.6,1991.0,2703.6,1912.4,2018.0,1147.4,1159.0,3261.6,1312.5,2032.1,3171.8,1061.4,1311.8,1477.9,2310.2,2018.3,3173.9,853.0,1890.3,1976.2,947.8,1993.4,2228.5,1425.0,804.8,1980.5,1142.0,2637.5,1890.8,1820.5,2313.9,1369.1,136.0,2014.9,1101.3,1142.9,969.2,1345.1,1346.7,1644.7,2660.0,1939.6,3290.6,2010.7,2509.6,1476.1,2670.1,1641.3
Naga (Cebu),1622.9,1896.9,1496.1,1532.9,3414.6,707.0,2770.9,1287.3,3285.0,1681.5,964.7,1228.7,1939.7,892.3,273.5,3473.7,3918.2,184.6,4329.5,2624.4,2857.3,4911.8,3529.7,876.0,2493.3,3529.2,826.6,3880.7,2081.8,3902.0,3895.1,4288.0,3505.1,3755.6,166.3,536.0,384.2,165.0,2694.1,1601.5,3388.7,3391.6,1547.4,2706.9,2709.2,1958.9,972.0,3395.2,974.9,1547.0,789.9,2671.5,1623.9,824.0,819.9,3420.8,781.5,826.7,2419.5,4481.4,2559.1,1000.8,1216.9,1603.0,1925.6,0.0,243.1,3879.3,164.5,688.2,4761.5,2334.6,4873.0,2744.8,3207.7,3480.2,1984.2,2487.4,2653.6,3921.6,688.4,3289.2,1213.8,742.2,228.3,1308.7,3604.8,3404.2,2537.6,1545.0,3156.1,2317.6,3889.0,3066.5,1364.0,1036.3,2086.8,1838.7,267.0,1117.4,2318.5,4583.3,913.1,914.7,3100.4,4271.4,191.7,4902.0,262.8,3761.2,2651.7,4281.5,407.8
Nasipit,1688.4,1962.4,1553.2,1598.4,3480.0,772.4,2836.3,1352.7,3350.5,1746.9,1021.7,1294.1,2005.1,957.7,134.4,3539.2,3983.7,250.0,4394.9,2689.9,2922.8,4977.2,3595.2,736.9,2558.7,3594.7,687.5,3946.2,2147.3,3967.5,3960.6,4353.4,3570.6,3821.1,231.7,601.4,245.1,230.5,2759.5,1658.6,3454.1,3457.0,1612.8,2772.3,2774.6,2015.9,1037.5,3460.6,1040.3,1612.4,855.4,2736.9,1689.3,684.9,885.3,3486.2,846.9,892.1,2484.9,4546.8,2624.5,1066.2,1282.3,1668.5,1991.0,243.1,0.0,3944.7,229.9,753.6,4826.9,2400.0,4938.4,2810.3,3273.1,3545.7,2049.6,2552.8,2719.0,3987.0,753.8,3354.7,1279.3,807.6,89.2,1374.2,3670.2,3469.6,2603.1,1610.4,3221.5,2383.0,3954.5,3131.9,1313.2,1101.8,2152.3,1904.1,127.9,1182.8,2383.9,4648.7,978.5,980.1,3165.8,4336.8,257.1,4967.4,123.7,3826.7,2717.1,4346.9,473.3
Nghi Son,3173.7,2675.0,3934.0,3083.7,1882.3,3990.6,2325.3,3436.9,943.6,1876.8,4135.4,3378.3,2717.7,3834.8,3975.1,1132.3,198.8,3886.2,3883.9,2424.9,2885.2,4466.2,545.3,4161.6,2047.7,544.8,4112.2,161.4,2584.0,182.7,175.7,3842.4,1163.7,354.4,3867.9,3875.7,4085.8,3866.7,1840.4,3707.5,1856.3,1859.2,2931.0,2261.3,1855.6,3888.6,1585.1,1862.8,3917.4,2930.6,3836.2,2226.0,3211.6,4109.7,3866.2,1888.4,3827.7,3872.9,2424.0,4035.8,2163.3,3943.3,3366.6,3153.8,2703.6,3879.3,3944.7,0.0,3866.1,3971.7,2207.3,1889.0,3991.7,2772.7,1810.7,1138.7,4251.9,2041.8,2208.0,3040.3,3972.0,947.8,3363.5,3375.8,3929.9,3458.4,2723.5,1871.8,3153.7,3095.8,1538.4,1872.0,169.7,1669.4,4331.0,4062.2,2589.0,2616.8,3968.6,3611.9,1872.9,2429.4,3855.6,3857.2,3104.9,3390.1,3893.3,4020.7,3964.4,360.1,2206.2,3400.2,3690.4
Ozamiz,1609.7,1883.8,1482.9,1519.7,3401.4,693.8,2757.7,1274.1,3271.9,1668.3,951.5,1215.5,1926.5,879.1,260.3,3460.6,3905.1,171.4,4316.3,2611.3,2844.2,4898.6,3516.6,862.8,2480.1,3516.1,813.4,3867.6,2068.7,3888.9,3882.0,4274.8,3492.0,3742.5,153.1,522.8,371.0,151.9,2680.9,1588.4,3375.5,3378.4,1534.2,2693.7,2696.0,1945.7,958.8,3382.0,961.7,1533.8,776.7,2658.3,1610.7,810.8,806.7,3407.6,768.3,813.5,2406.3,4468.2,2545.9,987.6,1203.7,1589.8,1912.4,164.5,229.9,3866.1,0.0,675.0,4748.3,2321.4,4859.8,2731.7,3194.5,3467.1,1971.0,2474.2,2640.4,3908.4,675.2,3276.1,1200.7,729.0,215.1,1295.5,3591.6,3391.0,2524.5,1531.8,3142.9,2304.4,3875.9,3053.3,1350.9,1023.1,2073.7,1825.5,253.8,1104.2,2305.3,4570.1,900.0,901.5,3087.2,4258.2,178.5,4888.8,249.6,3748.1,2638.5,4268.3,394.6
Pagbilao,1715.4,1989.4,1680.8,1625.4,3507.0,182.7,2863.3,1379.8,3377.5,1774.0,1149.4,1321.1,2032.1,984.7,784.0,3566.2,4010.7,695.1,4421.9,2716.9,2949.8,5004.2,3622.2,1063.8,2585.7,3621.7,1014.4,3973.2,2174.3,3994.5,3987.6,4380.4,3597.6,3848.1,676.8,322.4,775.3,675.5,2786.5,1786.3,3481.1,3484.0,1639.9,2799.3,2801.6,2143.6,1064.5,3487.6,1067.4,1639.4,338.5,2763.9,1716.3,1011.9,368.5,3513.2,330.1,375.3,2511.9,4573.8,2651.5,1093.2,1309.4,1695.5,2018.0,688.2,753.6,3971.7,675.0,0.0,4853.9,2427.0,4965.4,2837.3,3300.1,3572.7,2076.7,2579.8,2746.0,4014.0,164.1,3381.7,1306.3,834.7,738.8,1401.2,3697.2,3496.6,2630.1,1637.5,3248.5,2410.0,3981.5,3158.9,1548.8,584.9,2179.3,1931.2,777.5,1209.8,2410.9,4675.7,1005.6,1007.1,3192.8,4363.8,702.2,4994.4,773.3,3853.7,2744.1,4373.9,592.6
Palembang,1646.3,1118.8,4816.2,1556.2,1473.6,4872.8,829.8,4319.1,1537.0,1284.4,5017.6,4260.5,1161.5,4717.0,4857.3,1263.7,2170.2,4768.4,2388.4,555.0,1015.3,2970.7,1781.7,5043.8,552.3,1781.2,4994.4,2132.7,894.7,2154.0,2147.1,2346.9,1295.1,2007.6,4750.1,4757.9,4968.0,4748.9,753.1,4589.7,1447.7,1450.6,1374.8,765.8,768.2,4770.8,1435.4,1454.2,4799.6,1374.4,4718.4,730.5,4093.8,4991.9,4748.4,1479.7,4709.9,4755.1,554.1,2540.3,94.8,4825.5,4248.8,1626.3,1147.4,4761.5,4826.9,2207.3,4748.3,4853.9,0.0,393.6,2496.2,902.8,1266.7,1270.1,2975.7,546.4,712.5,1544.8,2695.8,1541.3,2087.3,2099.6,2653.7,2182.2,1228.0,1463.1,1283.8,1568.3,1215.1,376.6,2141.1,1125.4,3054.8,2786.0,899.7,1060.6,2692.4,2335.7,377.5,559.5,2579.4,2581.0,1235.0,1894.6,2617.1,2525.2,2688.2,2013.3,710.7,1904.7,2414.2
Pasir Gudang,1657.8,1130.4,2389.3,1567.8,1155.4,2445.9,511.6,1892.2,1218.8,966.1,2590.7,1833.6,1173.1,2290.1,2430.4,945.4,1852.0,2341.5,2070.2,809.9,1270.1,2652.5,1463.5,2616.9,234.0,1462.9,2567.5,1814.5,1039.3,1835.8,1828.8,2028.7,976.8,1689.4,2323.2,2331.0,2541.1,2322.0,434.8,2162.8,1129.5,1132.4,1386.3,447.6,450.0,2343.9,1117.2,1136.0,2372.7,1385.9,2291.5,412.3,1666.9,2565.0,2321.5,1161.5,2283.0,2328.2,809.0,2222.1,349.6,2398.6,1821.9,1637.9,1159.0,2334.6,2400.0,1889.0,2321.4,2427.0,393.6,0.0,2178.0,1157.6,948.4,951.9,2707.2,228.1,394.3,1226.6,2427.3,1223.0,1818.8,1831.1,2385.2,1913.7,909.8,1144.9,1538.6,1579.9,896.9,58.4,1822.8,807.2,2786.3,2517.5,1044.3,1072.1,2423.9,2067.2,59.2,814.3,2310.9,2312.5,1489.9,1576.4,2348.6,2207.0,2419.7,1695.0,392.5,1586.5,2145.7
Payra,3760.5,3233.0,5211.1,3670.5,3235.6,4984.3,1984.4,4714.0,3321.5,3068.8,5240.9,4655.4,3275.7,4987.7,4968.8,3048.1,3954.6,4879.9,197.8,2912.5,3372.8,2161.3,3566.2,5155.3,2022.4,3565.6,5105.9,3917.2,3142.0,3938.5,3931.5,1537.4,3079.5,3792.0,4861.6,4869.4,5079.5,4860.4,2537.5,4984.6,3209.6,3212.5,3489.0,1920.4,2552.7,5165.7,3219.9,3216.1,5070.4,3488.6,4826.9,1907.6,4488.7,5103.4,4856.8,3241.7,4818.4,4863.6,2911.6,95.0,2452.3,5096.2,4643.7,3740.6,3261.6,4873.0,4938.4,3991.7,4859.8,4965.4,2496.2,2178.0,0.0,3260.3,3028.6,3054.6,4129.9,2016.5,1889.6,3284.3,4530.0,3325.7,3921.5,3933.8,4487.9,4016.4,1551.9,3225.1,3641.3,3682.6,2999.6,2161.0,3925.5,2887.4,4889.0,4620.2,3147.0,3174.8,4526.6,4169.9,2161.9,2917.0,4413.6,4415.2,2496.4,1143.6,4451.3,1494.0,4522.4,3797.7,1887.8,1153.7,4248.4
Pelabuhan Ratu,1584.0,1283.9,2804.7,1494.0,2237.7,2856.1,1593.9,1627.6,2102.5,1683.1,2491.3,1569.0,1326.6,2025.5,2840.7,2027.7,2735.6,2751.8,3152.5,448.5,218.2,3734.8,2347.1,2536.2,1316.3,2346.6,2486.8,2698.1,1059.8,2719.5,2712.5,3111.0,2059.1,2573.0,2733.5,2741.2,2951.4,2732.2,1517.1,2578.2,2211.8,2214.6,1508.5,1529.9,1532.3,2876.1,1834.2,2218.3,2108.1,1508.0,2886.7,1494.6,1327.3,2484.3,2916.7,2243.8,2878.3,2571.1,447.6,3304.4,858.8,2134.0,1557.2,1564.1,1312.5,2744.8,2810.3,2772.7,2731.7,2837.3,902.8,1157.6,3260.3,0.0,2030.7,2034.2,2442.6,1310.4,1476.6,2308.9,2837.5,2106.7,1554.2,2073.9,2795.4,1649.1,1992.1,2227.2,486.8,1506.0,1979.2,1140.7,2706.5,1889.5,3021.1,3133.1,1064.8,1225.7,2834.2,1802.6,1141.5,453.0,2046.3,2047.9,871.2,2658.7,2758.9,3289.3,2830.0,2578.7,1474.8,2668.8,2460.6
Penang,2530.9,2003.4,3262.4,2440.9,663.2,3319.0,1362.2,2765.3,1140.4,1693.8,3463.8,2706.7,2046.2,3163.2,3303.5,769.4,1773.6,3214.6,2920.8,1683.0,2143.2,3503.2,1385.1,3490.0,1107.1,1384.6,3440.6,1736.1,1912.4,1757.4,1750.5,2879.3,800.8,1611.0,3196.3,3204.1,3414.2,3195.1,622.8,3035.9,637.3,640.2,2259.4,1298.3,637.9,3217.0,1781.9,643.8,3245.8,2259.0,3164.6,1285.4,2540.0,3438.1,3194.6,669.3,3156.1,3201.3,1682.1,3072.7,1222.7,3271.7,2695.0,2511.0,2032.1,3207.7,3273.1,1810.7,3194.5,3300.1,1266.7,948.4,3028.6,2030.7,0.0,775.9,3580.3,1101.2,1267.4,711.9,3300.4,1144.7,2691.9,2704.2,3258.3,2786.8,1760.5,652.7,2411.7,2453.0,499.2,931.5,1744.5,165.6,3659.4,3390.6,1917.4,1945.2,3297.0,2940.3,932.3,1687.4,3184.0,3185.6,2362.9,2427.0,3221.7,3057.6,3292.8,1616.7,1265.6,2437.1,3018.8
Phu My,3220.3,3143.2,3540.1,3130.3,847.5,3591.5,1388.2,3263.9,468.5,1401.7,3226.7,3205.3,3185.9,3661.8,3576.1,97.5,1101.7,3487.2,2946.8,1686.4,2146.7,3529.1,713.2,3271.6,1110.6,712.7,3222.2,1064.2,1915.9,1085.5,1078.6,2905.3,128.9,939.1,3468.9,3476.6,3686.8,3467.6,805.6,3313.6,821.6,824.4,3144.8,1324.2,820.8,3611.5,4442.5,828.1,3744.4,3144.3,3622.1,1288.8,2963.6,3219.7,3652.1,853.6,3613.7,4441.7,1685.5,3098.7,1226.1,3770.3,3193.5,3200.4,3171.8,3480.2,3545.7,1138.7,3467.1,3572.7,1270.1,951.9,3054.6,2034.2,775.9,0.0,3178.0,1104.7,1270.8,2103.2,3572.9,472.7,3190.5,4227.8,3530.8,3285.4,1786.4,837.0,2415.2,3142.3,503.6,934.9,1072.6,634.6,3756.5,3868.5,1920.8,1948.7,3569.6,3438.9,935.8,1690.9,3682.6,3684.2,2366.4,2453.0,3494.3,3083.6,3565.4,944.7,1269.0,2463.1,3196.0
Pomalaa,941.4,1032.8,917.6,851.4,3787.2,2095.5,2463.5,985.1,2982.8,2291.6,1118.9,926.4,1075.5,1382.9,2080.0,3171.5,3616.0,1991.1,4022.1,2322.2,2555.1,4604.4,3227.5,1558.6,2865.9,3227.0,1509.1,3578.5,1779.6,3599.8,3592.9,3980.6,3202.9,3453.4,1972.8,1980.6,2018.8,1971.6,3066.7,691.0,3761.3,3764.2,865.9,2399.5,3081.8,989.0,2178.8,3767.8,1465.5,865.5,2126.1,3044.1,487.0,1506.6,2156.1,3793.4,2117.7,2162.9,2792.1,4174.0,2931.7,1491.4,914.7,921.5,1061.4,1984.2,2049.6,4251.9,1971.0,2076.7,2975.7,2707.2,4129.9,2442.6,3580.3,3178.0,0.0,2180.0,2346.2,3897.6,2076.9,2987.0,911.6,1948.9,2034.8,1006.5,3580.8,3096.8,2235.4,863.5,2848.7,2010.2,3586.8,2759.1,1314.6,2372.5,1784.6,974.5,2073.5,1160.0,2011.1,4275.9,1403.8,1405.3,2793.0,4247.4,1998.2,4878.0,2069.3,3459.0,2344.3,4257.5,1640.2
Port Dickson,1810.6,1283.2,2542.1,1720.6,1308.2,2598.7,350.1,2045.0,1371.6,1118.9,2743.5,1986.4,1325.9,2442.9,2583.2,1098.2,2004.8,2494.3,1908.7,962.7,1422.9,2491.0,1616.3,2769.7,95.0,1615.7,2720.3,1967.3,1192.1,1988.6,1981.6,1867.1,1129.6,1842.1,2476.0,2483.8,2693.9,2474.8,587.6,2315.6,1282.3,1285.2,1539.1,286.1,602.8,2496.7,1270.0,1288.8,2525.5,1538.7,2444.3,273.2,1819.7,2717.8,2474.3,1314.3,2435.8,2481.0,961.8,2060.6,502.4,2551.4,1974.7,1790.7,1311.8,2487.4,2552.8,2041.8,2474.2,2579.8,546.4,228.1,2016.5,1310.4,1101.2,1104.7,2180.0,0.0,255.3,1356.9,2580.1,1375.8,1971.6,1983.9,2538.0,2066.5,748.3,1297.7,1691.4,1732.7,1049.7,211.2,1975.6,960.0,2939.1,2670.3,1197.1,1224.9,2576.7,2220.0,212.0,967.1,2463.7,2465.3,1642.7,1414.9,2501.4,2045.5,2572.5,1847.8,253.4,1425.0,2298.5
Port Kelang,1976.8,1449.3,2708.3,1886.8,1474.4,2764.9,223.2,2211.2,1537.8,1285.1,2909.7,2152.6,1492.0,2609.1,2749.4,1264.4,2170.9,2660.5,1781.8,1128.8,1589.1,2364.1,1782.5,2935.9,261.2,1781.9,2886.5,2133.4,1358.3,2154.8,2147.8,1740.3,1295.8,2008.3,2642.2,2650.0,2860.1,2641.0,753.8,2481.8,1448.4,1451.3,1705.3,159.2,768.9,2662.9,1436.2,1454.9,2691.7,1704.9,2610.5,146.4,1985.9,2884.0,2640.5,1480.5,2602.0,2647.2,1127.9,1933.7,668.6,2717.6,2140.9,1956.9,1477.9,2653.6,2719.0,2208.0,2640.4,2746.0,712.5,394.3,1889.6,1476.6,1267.4,1270.8,2346.2,255.3,0.0,1523.1,2746.3,1542.0,2137.8,2150.1,2704.2,2232.7,621.4,1463.9,1857.6,1898.9,1215.9,377.3,2141.8,1126.2,3105.3,2836.5,1363.3,1391.1,2742.9,2386.2,378.2,1133.3,2629.9,2631.5,1565.9,1288.0,2667.6,1918.6,2738.7,2014.0,126.6,1298.1,2464.7
Prachuap,2809.1,2281.6,4259.7,2719.1,163.6,4032.9,1617.9,3762.6,2370.1,2117.4,4289.5,3704.0,2324.3,4036.3,4017.4,2096.7,3003.2,3928.5,3176.6,1961.1,2421.4,3758.9,2614.8,4203.9,1362.8,2614.2,4154.5,2965.8,2190.6,2987.1,2980.1,3135.0,2128.1,2840.6,3910.2,3918.0,4128.1,3909.0,1586.1,4033.2,137.7,140.6,2537.6,1554.0,1601.3,4214.3,2268.5,144.2,4119.0,2537.2,3875.5,1541.1,3537.3,4152.0,3905.4,169.7,3867.0,3912.2,1960.2,3328.4,1500.9,4144.8,3692.3,2789.2,2310.2,3921.6,3987.0,3040.3,3908.4,4014.0,1544.8,1226.6,3284.3,2308.9,711.9,2103.2,3897.6,1356.9,1523.1,0.0,3578.6,2374.3,2970.1,2982.4,3536.5,3065.0,2016.2,153.1,2689.9,2731.2,2048.2,1209.6,2974.1,570.7,3937.6,3668.8,2195.6,2223.4,3575.2,3218.5,1210.5,1965.6,3462.2,3463.8,2618.6,2682.7,3499.9,3313.3,3571.0,2846.3,1521.3,2692.8,3297.0
Quezon,1715.6,1989.6,1681.1,1625.6,3507.3,182.9,2863.6,1380.0,3377.7,1774.2,1149.6,1321.4,2032.4,984.9,784.2,3566.4,4010.9,695.3,4422.2,2717.1,2950.0,5004.5,3622.4,1064.1,2586.0,3621.9,1014.7,3973.4,2174.5,3994.7,3987.8,4380.7,3597.8,3848.3,677.0,322.6,775.6,675.8,2786.8,1786.5,3481.4,3484.3,1640.1,2799.6,2801.9,2143.8,1064.7,3487.9,1067.6,1639.7,338.7,2764.2,1716.5,1012.1,368.7,3513.5,330.3,375.5,2512.2,4574.1,2651.8,1093.4,1309.6,1695.7,2018.3,688.4,753.8,3972.0,675.2,164.1,2695.8,2427.3,4530.0,2837.5,3300.4,3572.9,2076.9,2580.1,2746.3,3578.6,0.0,3381.9,1306.5,834.9,739.0,1401.4,3697.5,3496.9,2630.3,1637.7,3248.8,2410.3,3981.7,3159.2,1549.0,585.1,2179.5,1931.4,777.7,1210.1,2411.2,4676.0,1005.8,1007.3,3193.1,4364.1,702.4,4994.7,773.5,3853.9,2744.4,4374.2,592.8
Quy Nhon,3222.4,3145.3,3349.1,3132.4,1216.3,3400.5,1659.3,3266.0,277.6,1210.8,3035.7,3207.4,3188.0,3663.9,3385.1,466.3,910.8,3296.2,3217.9,1758.9,2219.2,3800.2,522.3,3080.6,1381.7,521.7,3031.2,873.3,1918.0,894.6,887.6,3176.4,497.7,748.1,3277.9,3285.6,3495.8,3276.6,1174.4,3122.6,1190.3,1193.2,3146.9,1595.3,1189.6,3420.5,4444.6,1196.8,3746.5,3146.4,3431.1,1560.0,2965.7,3028.7,3461.1,1222.4,3422.7,4443.8,1758.0,3369.8,1497.3,3772.4,3195.6,3202.5,3173.9,3289.2,3354.7,947.8,3276.1,3381.7,1541.3,1223.0,3325.7,2106.7,1144.7,472.7,2987.0,1375.8,1542.0,2374.3,3381.9,0.0,3192.6,4229.9,3339.8,3287.5,2057.5,1205.8,2487.7,3144.4,872.4,1206.0,881.6,1003.4,3565.5,3677.5,1923.0,1950.8,3378.6,3441.0,1206.9,1763.4,3684.7,3686.3,2438.9,2724.1,3303.3,3354.7,3374.4,753.8,1540.2,2734.2,3005.0
Samarinda,550.3,824.3,1273.7,460.3,2898.8,1325.1,2255.1,168.8,3188.4,2769.1,960.3,110.2,867.1,612.5,1309.7,3184.1,3821.6,1220.7,3813.7,1433.8,1763.4,4396.0,3433.1,1005.2,1977.5,3432.6,955.8,2690.1,1382.8,3805.4,2704.5,3772.2,2314.5,2565.0,1202.5,1210.2,1420.4,1201.2,2178.3,1047.2,2872.9,2875.8,474.8,2191.1,2193.4,1345.1,1408.4,2879.4,695.2,474.4,1355.7,2155.7,551.3,953.3,1385.7,2905.0,1347.3,1392.5,1903.7,3965.6,2043.3,721.0,98.4,530.4,853.0,1213.8,1279.3,3363.5,1200.7,1306.3,2087.3,1818.8,3921.5,1554.2,2691.9,3190.5,911.6,1971.6,2137.8,2970.1,1306.5,3192.6,0.0,1178.6,1264.4,190.2,3372.4,2888.4,1443.7,472.4,2640.3,1801.8,2698.4,2550.7,1490.1,1602.1,1387.8,766.1,1303.2,389.6,1802.7,4067.5,633.4,634.9,2584.6,4039.0,1227.9,4669.6,1299.0,2570.6,2135.9,4049.1,929.6
Sandakan,1587.7,1861.7,1641.6,1497.7,2911.1,853.5,2267.4,1252.0,4225.7,3806.4,1110.1,1193.4,1904.4,857.0,838.0,4221.4,4858.9,749.1,3826.0,1726.2,2800.7,4408.3,4470.4,1024.6,1989.8,4469.9,975.2,1750.3,2420.1,4842.7,1764.6,3784.5,1374.7,1625.1,730.8,738.6,948.7,729.6,2190.6,1747.0,2885.2,2888.1,1512.1,2203.4,2205.7,2104.3,468.6,2891.7,939.7,1511.7,884.1,2168.0,1588.6,972.6,914.1,2917.3,875.7,920.9,1916.0,3977.9,2055.6,965.5,1181.6,1567.8,1890.3,742.2,807.6,3375.8,729.0,834.7,2099.6,1831.1,3933.8,2073.9,2704.2,4227.8,1948.9,1983.9,2150.1,2982.4,834.9,4229.9,1178.6,0.0,792.8,1273.5,3101.3,2900.7,2481.0,1509.7,2652.6,1814.1,1758.6,2563.0,1509.5,1130.5,2425.1,1803.4,831.5,1082.1,1815.0,4079.8,877.9,879.4,2596.9,3767.9,756.2,4398.5,827.3,1630.8,2148.2,3778.0,553.3
Sangi,1673.5,1947.5,1538.3,1583.5,3465.2,757.6,2821.5,1337.9,3335.6,1732.1,1006.9,1279.3,1990.3,942.8,119.6,3524.3,3968.8,235.2,4380.1,2675.0,2907.9,4962.4,3580.3,722.0,2543.9,3579.8,672.6,3931.3,2132.4,3952.6,3945.7,4338.6,3555.7,3806.2,216.9,586.6,230.3,215.6,2744.7,1643.8,3439.3,3442.2,1598.0,2757.5,2759.8,2001.1,1022.6,3445.8,1025.5,1597.6,840.5,2722.1,1674.5,670.1,870.5,3471.4,832.1,877.3,2470.1,4532.0,2609.7,1051.3,1267.5,1653.6,1976.2,228.3,89.2,3929.9,215.1,738.8,2653.7,2385.2,4487.9,2795.4,3258.3,3530.8,2034.8,2538.0,2704.2,3536.5,739.0,3339.8,1264.4,792.8,0.0,1359.3,3655.4,3454.8,2588.2,1595.6,3206.7,2368.2,3939.6,3117.1,1298.4,1086.9,2137.4,1889.3,113.1,1168.0,2369.1,4633.9,963.7,965.2,3151.0,4322.0,242.3,4952.6,108.9,3811.8,2702.3,4332.1,458.4
Sangkulirang,645.2,919.2,1368.5,555.2,2993.7,1420.0,2350.0,263.7,3283.3,2864.0,1055.2,205.1,961.9,707.4,1404.6,3279.0,3916.5,1315.6,3908.6,1528.7,1858.3,4490.9,3528.0,1100.1,2072.4,3527.5,1050.7,2785.0,1477.7,3900.3,2799.3,3867.1,2409.4,2659.8,1297.3,1305.1,1515.3,1296.1,2273.2,1142.0,2967.8,2970.7,569.7,2286.0,2288.3,1440.0,1503.3,2974.3,790.1,569.3,1450.6,2250.6,646.1,1048.1,1480.6,2999.9,1442.2,1487.4,1998.6,4060.5,2138.2,815.9,193.3,625.3,947.8,1308.7,1374.2,3458.4,1295.5,1401.2,2182.2,1913.7,4016.4,1649.1,2786.8,3285.4,1006.5,2066.5,2232.7,3065.0,1401.4,3287.5,190.2,1273.5,1359.3,0.0,3467.3,2983.3,1538.6,567.3,2735.2,1896.7,2793.3,2645.6,1585.0,1697.0,1482.7,861.0,1398.1,484.5,1897.6,4162.4,728.3,729.8,2679.5,4133.9,1322.8,4764.5,1393.9,2665.5,2230.8,4144.0,1024.5
